"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2131986";"";"";"Small molecule";"";"419.46";"2";"2";"3.71";"66.88";"6";"0";"0";"3";"N";"0.51";"None";"2.51";"3.66";"3.66";"4";"MOL";"-1";"31";"7";"0";"0";"419.1758";"-2.13";"NEUTRAL";"C23H22FN5O2";"Cc1nc2cc(-c3ccc(F)cc3)nn2c(N2CCN(C(=O)c3ccco3)CC2)c1C";"MCHKLISZOANECM-UHFFFAOYSA-N"
"CHEMBL595290";"";"";"Small molecule";"";"582.70";"6";"7";"6.25";"81.75";"5";"2";"2";"8";"N";"0.21";"12.44";"6.37";"7.08";"7.04";"5";"MOL";"-1";"44";"7";"2";"2";"582.2631";"-1.17";"NEUTRAL";"C37H34N4O3";"CN1CCN(C(C(=O)Nc2ccc(NC(=O)c3ccc4ccccc4c3)cc2C(=O)c2ccccc2)c2ccccc2)CC1";"NOJWVQHMJIGYRV-UHFFFAOYSA-N"
"CHEMBL4077332";"";"";"Small molecule";"";"529.58";"1";"2";"4.71";"89.99";"7";"1";"1";"8";"N";"0.53";"None";"None";"3.59";"3.59";"2";"MOL";"-1";"36";"8";"1";"1";"529.1858";"-1.10";"NEUTRAL";"C24H30F3N3O5S";"COc1cc(C(=O)NC(c2nc(C(=O)N3CCC(C(F)(F)F)CC3)cs2)C(C)C)cc(OC)c1OC";"FLSMRLRBOICREV-UHFFFAOYSA-N"
"CHEMBL5079066";"";"";"Unknown";"";"686.77";"3";"3";"5.40";"130.68";"12";"1";"3";"12";"N";"0.18";"None";"8.46";"5.47";"4.36";"6";"MOL";"-1";"51";"13";"1";"3";"686.2965";"-1.29";"NEUTRAL";"C38H38N8O5";"COc1cc2c(cc1OC)CN(CCc1ccc(-n3nnc(-c4cc(OC)c(OC)cc4NC(=O)c4ccc(-n5ccnc5)cc4)n3)cc1)CC2";"DSUWWKJTWPTXFS-UHFFFAOYSA-N"
"CHEMBL254219";"DIGITOXIN";"CRISTAPURAT|CRYSTODIGIN|Crystodigin|DIGIMERCK|DIGITALIN, CRYSTALLINE|DIGITOPHYLLIN|DIGITOXIN|DIGITOXINUM|DIGITOXOSIDE|GLUCODIGIN|LANATOXIN|NATIVELLE DIGITALINE|NSC-7529|PURPURID|TRADIGAL";"Small molecule";"4.0";"764.95";"241";"1088";"3.25";"182.83";"13";"5";"2";"7";"N";"0.19";"7.18";"0.24";"3.60";"3.18";"0";"MOL";"0";"54";"13";"5";"2";"764.4347";"2.20";"NEUTRAL";"C41H64O13";"C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O";"WDJUZGPOPHTGOT-XUDUSOBPSA-N"
"CHEMBL1229";"OSELTAMIVIR";"GS 4104|GS-4071 ETHYL ESTER|GS-4104|GS4104|OSELTAMIVIR|Oseltamivir Carboxylate|RO 640796|RO-64-0796|RO-640796|RO64-0796";"Small molecule";"4.0";"312.41";"70";"1188";"1.29";"90.65";"5";"2";"0";"7";"N";"0.69";"None";"9.31";"1.16";"-0.72";"0";"MOL";"0";"22";"6";"3";"0";"312.2049";"1.02";"BASE";"C16H28N2O4";"CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1";"VSZGPKBBMSAYNT-RRFJBIMHSA-N"
"CHEMBL2372493";"";"";"Protein";"";"1190.58";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"BOTH";"-1";"None";"None";"None";"None";"1189.8050";"None";"None";"C60H107N11O13";"C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)CC(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C";"IMJWIFHWHLWFDD-QNBKEXRESA-N"
"CHEMBL5204503";"";"";"";"";"397.43";"7";"9";"2.90";"108.99";"6";"3";"0";"3";"N";"0.73";"3.86";"None";"2.73";"-0.59";"2";"MOL";"0";"29";"7";"3";"0";"397.1525";"1.36";"ACID";"C22H23NO6";"C[C@H]1O[C@H](CC(=O)O)Cc2c1c(O)c1c3c(c4n(c23)[C@@H]([C@@H](C)O)CC4)C=CC1=O";"AWMWNWIBOOYESP-NJBDSQKTSA-N"
"CHEMBL1651956";"ALISPORIVIR";"(D-MEALA)3-(ETVAL)4-CSA|ALISPORIVIR|DEB 025|DEB-025|DEB025|DEBIO 025|DEBIO-025|Debio 025|UNIL 025|UNIL-025";"Protein";"3.0";"1216.66";"49";"154";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"BOTH";"0";"None";"None";"None";"None";"1215.8570";"None";"None";"C63H113N11O12";"C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C";"OLROWHGDTNFZBH-XEMWPYQTSA-N"
"CHEMBL2074921";"DESMETHYLAZELASTINE";"Desmethylazelastine";"Small molecule";"";"367.88";"1";"2";"3.96";"46.92";"4";"1";"0";"3";"N";"0.76";"None";"10.37";"3.66";"0.88";"3";"MOL";"-1";"26";"4";"1";"0";"367.1451";"-0.89";"BASE";"C21H22ClN3O";"O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1C1CCCNCC1";"WRYCMIFVXDQIKN-UHFFFAOYSA-N"
